Year,Classification,Count
2010,Architecture,13
2010,Design,132
2010,Drawing,152
2010,Film,17
2010,Ilustrated Book,76
2010,Installation ,112
2010,Painting,18
2010,Photograph,663
2010,Print,439
2010,Sculpture,94
2010,Video,21
2011,Architecture,22
2011,Design,292
2011,Drawing,237
2011,Film,46
2011,Ilustrated Book,133
2011,Installation ,53
2011,Painting,29
2011,Photograph,389
2011,Print,565
2011,Sculpture,60
2011,Video,88
2012,Architecture,424
2012,Design,252
2012,Drawing,170
2012,Film,177
2012,Ilustrated Book,270
2012,Installation ,25
2012,Painting,28
2012,Photograph,370
2012,Print,"1,029"
2012,Sculpture,28
2012,Video,88
2013,Architecture,122
2013,Design,43
2013,Drawing,101
2013,Film,28
2013,Ilustrated Book,46
2013,Installation ,32
2013,Painting,22
2013,Photograph,1322
2013,Print,875
2013,Sculpture,44
2013,Video,102
2014,Architecture,597
2014,Design,244
2014,Drawing,143
2014,Film,34
2014,Ilustrated Book,163
2014,Installation ,204
2014,Painting,21
2014,Photograph,854
2014,Print,362
2014,Sculpture,19
2014,Video,51
2015,Architecture,148
2015,Design,1242
2015,Drawing,113
2015,Film,27
2015,Ilustrated Book,193
2015,Installation ,20
2015,Painting,21
2015,Photograph,1049
2015,Print,1999
2015,Sculpture,34
2015,Video,189
